Question,Answer
Does Busy keep a log of all emails sent?,"No, Busy does not keep a log of all emails sent."
Does Busy validate transporter GSTIN in any way before accepting them.,"No, It does not validate automatically transporter GSTIN if you want to validate Transporter GSTIN you need to follow below steps.

Step 1: Go to transaction menu and select Gst misc. utilities option.
Step 2: In Gst misc. utilities option select validate GSTIN online to validate GSTIN online."
Doing separate billing for different godowns in Busy?,"You can maintain transaction seprately for every material center:
Step 1: Go to the Transaction menu
Step 2: Select voucher type
Step 3: click on ADD button
Step 4: Specify series, date, voucher no and material center from which you want to effect inventory.
Step 5: Specify other related details, like party name items bill sundries
Step 6: Click on SAVE button"
Edit finalized invoice in Busy but Unable to modify voucher. what to do?,"There can be several reasons that you unable to modify the voucher. 
 1. Ensure that you have all rights to modify the voucher. 
 If not then need to give rights as super user to sub user. 
 To give the rights you can follow the steps. 
 Step 1. Open the company as super user. 
 Step 2. Go to administration then user. 
 Step 3. Click On modify. 
 Step 4. On right side you will get the option of modification in transaction. 
 Step 5. Give the rights of modification through click on plus sign. 
 Step 6. Then save the configuration. 
 Step 7. Now login as sub user and try to modify the voucher."
Enable Gmail two-step verification for BUSY?,"To enable two step verification in gmail , you need to follow these steps:
 Step 1: Sign in you Gmail account.
 Step 2: Then Go to Google account settings
 Step 3: Now Click on secuity tab appear in left side of screen.
 Step 4: Enable two step verification from security tab."
Enable numbering series for transactions in all modules of BUSY.,"To enable numbering series for transactions in all modules of Busy, you need to follow :
Step 1 : click on administration
Step 2 : configuration
Step 3 : voucher series configuration
Step 4 : select voucher type
Step 5 : create numbering series by add new"
Enabling WhatsApp integration on the desktop version of BUSY: step-by-step process.,"To enable sending WhatsApp messages through your accounting software, you need to follow these steps:
 
 Step 1: Download the Whatsapp Web from Google Chrome whatsapp web will work on windows 8 or above
 Step 2 : Click on administration
 Step 3 : configuration
 Step 4 : SMS configuration
 Step 5 : Select WhatsApp as the channel.
 Step 6 : Enter the WhatsApp number where the message has to be sent.
 Step 7 : Click on Send SMS to send the message."
,"To enable PDF attachment option for emails in Busy, follow these steps:
Step 1: Go to administration menu then select configuration sub menu.
Step 2: Select email configuration and here tick on PDF attachment option then save."
Ensuring sales invoices in Busy correctly reflect ship-to address. How to configure?,"If you are not able to change the GST report basis in billing shipping window, you need to follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Sales return, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, select ask in voucher option in the GST report basis field then save."
What should be the steps to post credit note without item in Busy?,"To enter a credit memo in Busy, follow these steps:
 
 Step 1 : Open Busy 
 Step 2 : CLick on transactions
 Step 3 :Click on Credit Note"" or ""Debit Note"" option, depending on the type of credit memo you want to enter."
Error with two-factor auth when emailing in BUSY?,"If email from Busy please disable 2-step settings. Please follow below mention steps for disable 2-step settings:-
 Step 1:- Login email 
 Step 2:- Settings 
 Step 3:- Accounts & Import 
 Step 4:- Other google account settings 
 Step 5:- Security, 2-step settings, disable and then enter OTP the 2-step settings is off"
Errors in bulk sales invoices in Busy. Why and fix?,"If error showing in bulk sales invoice during process of Bulk voucher creation and modification.
 
 Pls follow the below steps :
 Step 1: Make sure that you have selected all the required field which is used in the voucher.
 Step 2: Make sure to select the correct item price value with gst tax rate."
"Every time I generate a credit note, I have to manually update the company address. Why does it not take my address automatically?","If every time you generate a credit note, you have to manually update the company address, you need to check the below steps:
Step 1: Normally, this does not happen in both the format standard and design. For this, you need to update the below option. Go to Company and edit the company option. You need to update the address.
Step 2: You also need to check in standard. For this, you need to go to Administration, then Configuration, then Invoice Document Printing, then Standard, then select the credit note and update the address.
Step 3: You also need to check the standard. For this, you need to go to Administration, then Configuration, then Invoice Document Printing, then Advance, then select the credit note and go to the header part and update the address."
,"BUSY is a popular accounting and inventory management software used by businesses. In BUSY, a stock journal voucher entry holds significant importance for inventory adjustments. Here are the solution steps to explain its significance:
Step 1: Navigating to Stock Journal Voucher Entry:Locate the Stock Journal Voucher Entry"" option in the menu or navigation bar of the BUSY software. Click on it to open the stock journal voucher entry window."
Finding and generating an app password in BUSY for email integration.,"Google offered several methods for two-factor authentication (2FA), including the use of the Google Authenticator app, phone prompts, and hardware security keys, among others. However, AirPass doesn't appear to be a standard term associated with Google's 2FA methods.
 Step 1 : To set up 2FA for your Google account linked to Busy, you would typically use one of the following methods:
 Step 2 : Go to your Google Account settings by visiting https://myaccount.google.com/.
 Step 3 : Click on Security or Sign-in & security.
 Step 4 : Locate the Two-step verification or Two-factor authentication section and click Turn on or Get started.
 Step 5 :Follow the on-screen instructions to set up 2FA using one of the available methods.
 Please note that Google's security features and settings may have evolved since my last knowledge update in September 2021, so it's essential to refer to Google's official documentation or support resources for the most up-to-date information on setting up two-factor authentication for your Google account."
Fix incorrect/duplicated transactions in BUSY.,"To fix incorrect or duplicated transactions in Busy, you can follow these steps:
 
 Step 1 : Go to the Transactions menu and select the option to view all transactions.
 Step 2 : Use the search or  options to locate the incorrect or duplicated transactions.
 Step 3 : Once you have identified the transactions, select them and choose the option to edit or delete them.
 Step 4 : If the transactions are duplicated, you can merge them by selecting the duplicate entries and using the merge option.
 Step 5 : Make the necessary corrections to the transactions, such as updating amounts or categories.
 Step 6 : Save the changes and verify that the transactions are now correct and not duplicated."
Enabling the "Send through Microsoft Outlook" option in email configuration in BUSY.,"To enable the Send through Microsoft Outlook option in email configuration in BUSY, you need to go to Administration Configuration Email Configuration and select the Send through Microsoft Outlook option.
 Step 1. Open BUSY and go to the Configuration menu.
 Step 2. Select Email Configuration from the options.
 Step 3. Enter your email address and password in the provided fields.
 Step 4. Choose the email service provider you are using (e.g., Gmail, Outlook).
 Step 5. Enter the SMTP server and port details for your email provider. You can find these details in the email settings of your email account.
 Step 6. Enable SSL/TLS encryption if required by your email provider.
 Step 7. Save the settings and test the email configuration by sending a test email.
 The SMTP option is not available when selecting Send through Microsoft Outlook in Busy's email configuration because the email will be sent automatically through the Outlook ID that is open on the system, without the need for SMTP server configuration."
From where we cam create the voucher in busy?,"To create the vouchers in busy then you have to click on transaction menu.
Step 1: Click on Transaction
Step 2: Then select the required voucher type
Step 3: Then Add"
,"To see item dropdown list in sales voucher for only one item group then follow the below steps.
Step 1: Go to administration and then configuration
Step 2: Then voucher series configuration and select the sales then series after that click on voucher configuration.
Step 3: In left bottom, mention the item group name in  value for item dropdown then save it. after that during voucher entry only that item group item will show."
How to take print for credit note in Busy?,"To print the credit note without item voucher in Busy, follow the below steps:
Step 1: Go transaction section then click on credit note without item and select modify tab.
Step 2: Now, open the voucher in modify mode then press ALT+P shortcut to give print command.
Step 3: Next, select credit note option then choose standard format and click on print."
Generate Gmail app password for BUSY two-factor auth?,"To generate a Gmail app password for use with BUSY when enabling two-factor authentication (2FA), follow these steps:
 Step 1 : To set up 2FA for your Google account linked to Busy, you would typically use one of the following methods:
 Step 2 : Go to your Google Account settings by visiting https://myaccount.google.com/.
 Step 3 : Click on Security or Sign-in & security.
 Step 4 : Locate the Two-step verification or Two-factor authentication section and click Turn on or Get started.
 Step 5 :Follow the on-screen instructions to set up 2FA using one of the available methods.
 Please note that Google's security features and settings may have evolved since my last knowledge update in September 2021, so it's essential to refer to Google's official documentation or support resources for the most up-to-date information on setting up two-factor authentication for your Google account."
Generate invoice where billing party is in one state but shipping address is in another. What to do?,"If not showing billing shipping window while selecting any party but showing for cash, you need to follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Sales return, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, select all parties in applicable for field then save."
Google has blocked my account from sending emails for hours. What should I do to resolve this?,"If your Google account has been temporarily blocked from sending emails for 6 hours, it's likely due to a security measure triggered by unusual or suspicious email activity. To resolve this issue and regain the ability to send emails, follow these steps:
 Step 1 : First and foremost, you will need to wait for the 6-hour suspension period to expire. 
 Step 2 : Use this time to review your recent email activity and check for any unusual or suspicious behavior
 Step 3 : After the suspension period ends, change your Google account password immediately to enhance security. Ensure that you create a strong, unique password.
 Step 4 : If you haven't already, enable two-factor authentication (2FA) for your Google account. 
 Step 5: If you haven't already, enable two-factor authentication (2FA) for your Google account. 
 Step 6 :Review your account security settings and check if any unauthorized devices or applications have access to your account.
 Step 7 :Run a thorough malware scan on your computer or device to ensure it's not infected. Malware can lead to unauthorized access to your accounts.
 Step 8 : If you suspect that your account may have been compromised or if the suspension continues beyond the 6-hour period, consider reaching out to Google's support team for assistance"
Guide me through the invoice creation process in BUSY.,"To generate an invoice in Busy, follow these steps:
 
 Step 1: Go to the Transaction Menu.
 Step 2: Select the voucher you want to create, such as Sales Invoice.
 Step 3: Three options will be displayed: Add/Modify/List; click on Add.
 Step 4: Select the customer in the party name.
 Step 5: Enter the item details, including quantity and rate.
 Step 6: Apply tax if applicable, along with any discounts."
"Having issue in attachment in email after enabling antivirus?
 How can i resolve it?","If you are facing issue in sending email attachments after enabling antivirus, you need to follow these steps:
Step 1: Exclude Busy application and Busywin folder from the antivirus exclusion settings.
Step 2: Ensure that your firewall settings are not blocking Busy. 
Step 3: Make sure your antivirus not blocking the email attachments. If yes unblock it then check."
Having trouble understanding how to set up the voucher number in Busy. Can you walk me through this?,"To setup the voucher numbering in Busy follow the below mentioned steps: 
Step 1:'Go to administration and then Configuration
Step 2: Click on Voucher series configuration 
Step 3: Select the voucher type and then select series
Step 4: Click on Voucher numbering
Step 5: Set the voucher numbering as Automatic"
How add sale invoice with alternate quantity enable in it.,"To enable the alternate quantity feature and how to add voucher in busy with alternate unit need to follow these steps
 Step 1: Go to administration menu and select configuration then features and options
 Step 2: Click on inventory tab, enable the option alternate unit of an item then save it.
 Step 3: Then go to administration menu and select item in which you want to maintain it. Enter the alternate unit and mention the converstion factor and save it.
 Step 4: Go to transaction menu and select sales from it then click on add button.
 Step 5: Now add voucher with all relevant fields like voucher date, voucher number, party name and after adding quantity in voucher alternate quantity window will open if you select the main unit after that save it."
How are costs centers used when recording transactions in Busy?,"""Cost centers are used to allocate expenses to different departments or business units in Busy when recording transactions. This helps in tracking and analyzing expenses and profitability for each cost center separately. you can follow these steps to record & configure.
Step 1: Enable Cost Centres option in Busy.
Step 2: Create Cost centre.
Step 3: for exmaple: you have created two cost centre 1 and cost centre 2. now you want to add purchase bills under cost center.
Step 4: Add purchase voucher and enter all voucher details click on save.
Step 5: After click on save will popup allocation of amount to cost centres window.
Step 6: Select Cost Centre Name, Amount and short Narration.
Step 7: Click on OK and save purchase voucher.
Step 8: If you want to be ask cost center info while doing payment, receipt voucher you need to enable in party master. modify party master and enable allocate amount to cost centers option"""
How are discounts calculated when I have both item-level and party-level discounts set up?,"To change the item wise discount structure in Busy, follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Purchase, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, you can select the desire discount structure in specify discount structure field then save."
How are imports of goods treated in BUSY?,"To record import of goods transaction in Busy, You need to follow these steps:
 Step 1: Go to the Transaction menu and click on Purchase.
 Step 2: Click on Add and enter all the required details such as Date, Vch no, etc.
 Step 3: Purchase Type should be as I/GST Import and save the transaction after fill all the details."
How can i made payment through UPI?,"To record Payment through UPI, you can follow the below steps:
Step 1: Go to Transaction then click on Payment Voucher type
Step 2: Select Add option and mention then date, series , voucher number and GST nature.
Step 3: Press F3 to create acocunt master at entry grid and create ledger for UPI transaction under bank account and save the master.
Step 4: Afterward, Post payment accounting entry with Upi ledger account and save the voucher."
How can i generate sales order and adjust quotation in Busy?,"To generate sales orders from quotations, you need to follow these steps:
Step 1: Go to transaction section then click on sales order
Step 2: Choose add option then specify the header party of voucher like party account, voucher date, number, sales type etc.
Step 3: Next, Press F11 at item level then select the required pending quotation and save the voucher."
How are quotations auto-created when generating sales orders in Busy?,"To auto create invoice from sales order in busy then follow the below steps.
Step 1: Go to administration and then bulk updation
Step 2: Select auto create of invoice and challan then choose invoice from order
Step 3: Select order type then mention series and date range then party from whom you want to pick order and create invoice. Then click on generate option then your invoice will get create."
How can adjust bills with purchase/sales orders?,"If you want to adjust purchase or sales orders while enter voucher then please follow the given steps 
 
 Step 1:Go to the transation and add the voucher of sale 
 Step 2: Then enter series, date, vch no., type , sale type , party and mat centre that is all. 
 Step 3: Select first cell of the item column then press F11. 
 Step 4: After pressing F11 new window sill appear i.e. select pending orders to pick then items 
 Step 5: Then select which you want to adjust by marking it and then Ok 
 Step 6: Then item of that order will auto poulate in the item field. 
 Step 7: Then save the voucher after enter all the details. 
 Step 8: Same steps for the purchase order."
How can be modify vouchers in case of incorrect entry,"To modify existing voucher in case of incorrect entry follow the given steps
 Step 1 Go to the transactions menu
 Step 2 Select the voucher you want to modify
 Step 3 Select modify option under vcher type
 Step 4 Select series and voucher number then enter in voucher
 Step 5 Select the entries you want to modify and save the changes"
How can errors be corrected in previously generated invoices or bills?,"To Correct previous generated invoice or modify the invoice , follow these steps:
Step 1: Go to trasaction then click on Sales voucher type
Step 2: Click on Modify tab then mention the voucher series , date and voucher number and then press on OK tab.
Step 3: After access invoice in modify mode, you can correct invoice and save it."
How can generate bill to ship to address in invoice?,"For ship to details in Invoice Follow these steps:
 Step 1: Click on Billing Shipping Details and mention ship to details.
 Step 2: In Transport window select transaction type as bill to ship to then proceed."
How can I access old transaction records in BUSY and view previous statements and reports?,"For previously recorded transaction in Busy please follow below mention steps for checking reports of transactions:-
 Step 1:- Display Tab
 Step 2:- Account Books
 Step 3:- Account Registers (Standard)
 Step 4:- Sales, enter date range and then check all sales data same steps for other reports"
How can i access the billing and shipping window in Busy?,"To access the billing and shipping window in Busy, you need to enable the feature by follow these steps:
Step 1: Go to Administration and click on Configuration.
Step 2: Select Voucher Series Configuration then select the voucher type.
Step 3: Select the voucher series and click on Voucher Configuration.
Step 4: Specify Y to enable separate billing and shipping then save the configuration."
How can I access the transporter window in Busy to add details?,"If the transport details not printing on invoice, follow these steps:
Step 1: For standard format go to administration and click on Configuration.
Step 2: Select Voucher Series Configuration then select the voucher type.
Step 3: Select the voucher series and click on optional field printing option.
Step 4: Here, tick on the relevant transport field which want to print then save. If you have advanced format then you need to contact them who configure it for you."
How can I access the voucher section in BUSY?How do I enable sales generation in Busy?,"In Busy, to access or create any voucher, you just need to click on the Transaction menu. All the voucher types are available in the Transaction menu, where you can post any accounting voucher, inventory voucher, or dual voucher.
In Busy, the Sale voucher is automatically activated. To generate the sales invoice follow these steps:
Step 1: Click on Transaction then click on sales voucher type
Step 2: Now, Click on add option and then you can create invoice with required details."
How can i access voucher configuration option in Busy.,"If you are unable to access Voucher series configuration option, please follow the given steps: 
 
 Step 1: Go to Administration Menu
 Step 2: Click on Configuration option
 Step 3: Click on Voucher sereis configuration 
 Step 4: Clcik on voucher type and then select voucher configuration"
How can I activate my Busy license if it's not activating automatically?,"In BUSY, There are two license Softlock License and Dongle License.
 
 Softlock Registration : We have to do softlock registration then will get a license file on our registered email ID. Then have to copy and paste it in Busywin Folder.
 
 Pls Follow the Below Steps :
 Step 1: Company Menu
 Step 2: License Management
 Step 3: Softlock Registration
 Step 4: Select the Current Machine and Bind with Option Eithe Hard Disk ,Machine ID or IP Address.
 Step 5: Mention the BUSY Serial Number and Activation Key 
 Step 6: User Company Details
 Step 7: You will get a license file in your registered email ID.
 Step 8: Copy License File from email id and paste it in Busywin Folder.
 
 
 Dongle License : Dongle is a Physical Device which has to be connect on USB Port of the system. Can Change system by connecting the Dongle.
 
 If BUSY License has expired then will be renew on chargeable basis either directly from Company end or Channel Partner."
How can i activate my softlock license key in Busy?,"In Busy, You can activate the Busy Softlock license by follow these steps:
Step 1: Open the Busy application and then click on Company menu
Step 2: Now, Go to license management option then click on Softlock registration
Step 3: Choose the appropriate option to bind the softlock: with either the Hard Disk, Machine ID, or IP Address on which you want to register the Busy license.
Step 4: After selecting the binding option, enter the serial number and activation code received in your email. Then, file the registration details as instructed.
Step 5: Next, enter the email ID and create a registered password of your choice. Once done, click on the Register tab.
Step 6: After successfully registering the softlock, you will receive a license file on your registered email ID. Download the file and paste it in the same drive and folder where Busy is installed.
Step 7: After reopening Busy, it will operate in license mode."
How can I activate my license key for the software?,"To activate your license key for the software, you can follow these steps:
 Step 1: Go to company menu , then click on sofltock registration.
 Step 2: Then select softlock registration.
 Step 3: Then choose bind softlock with hard disk, machine ID and IP address.
 Step 4: Then enter the serial no and activation key.
 Step 5: Then fill up the registration details such invoice details and company information.
 Step 6: Then specify the email ID and registration password and then submit.
 Step 7: After registration you will receive a mail as in that have to download license file.
 Step 8: Then copy license file and paste in busywin folder and restart your busy.
 Note : Select the correct busy model according to your license purchased."
How can i add challan number while making payment for GST in busy?,"To add the challan number while making payment for GST in busy, follow these steps:
Step 1: Go to transaction section then click on payment voucher type
Step 2: Select the Add tab, then specify the voucher series, date, voucher number, and choose the GST payment to government option in GST nature.
Step 3: Post the accounting entry for tax payment. Before saving the voucher, a GST payment details window will appear where you can update the challan details. Save the invoice after entering the necessary information."
How can I add extra charges like scrap value to my purchase invoices?,"You can apply the extra charges in the voucher as an bill sundry.
 Pls Follow the below Steps:
 Step 1: Click on Administration
 Step 2: Then Masters
 Step 3: Then Bill Sundry
 Step 4: Then Add 
 Step 5: Select Bill Sundry Type - Additive and Bill Sundry Nature - Others
 Step 6: Enable the Option for Costing and Accounting in the Voucher as per your requiredment.
 Step 7: During the purchase voucher entry, Apply the Bill Sundry."
How can I add freight charges to an existing invoice in Busy without affecting stock quantity?,"Follow below steps to add freight charges to an existing invoice in Busy without affecting stock quantity: 
 Step 1: Treat freight charges as Bill sundry, so it will not refelect in stock. 
 Step 2: Open desired voucher and press F3 on bill sundry. 
 Step 3: Create bill sundry as mention the nature and other configuration. 
 Step 4: Save and Apply it as per your requirement."
How can I add more details of item in sales orders and invoices?,"If you want to add more details for each item in your vouchers, you can use the item-wise description feature. To enable this feature, follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Choose the Voucher Series Configuration option and select the voucher type that you want to apply the discount for, such as sale, purchase, etc. Then, select the voucher series and click on Voucher Configuration.
Step 3: You will see the Item-wise Description feature. Set it to Y to enable it. By default, you can enter up to 4 lines of description for each item. You can increase this limit up to 20 lines if needed.
Step 4: Now, when you create an invoice, you can enter the addtional information for each item after entering the item details."
How can I add more text to the footer section of a voucher in BUSY?,"To add email footer in Busy, follow these steps:
Step 1: Go to administration menu then select configuration sub menu.
Step 2: Select email configuration and here add content in the email footer box then save."
How can I add multiple lines for item description?,"To add multiple lines for Item description follow the below steps:
Step 1: Go to administration section then click on Configuration menu
Step 2: Select Voucher series configuration option then select the required voucher type with it series
Step 3: Now, Click on Voucher configuration option that appear in right side of the screen.
Step 4: Then, enable Item wise description features then configure for no. of description required and save the configuration."
Can i post payemnt entry in Busy?,"To add your mobile number to print in invoice,you can follow some steps: 
 Step 1: Dont close your company just click on company menu 
 Stpe 2: Now click on edit company and enter the Mobile No. in field of Tel No. and save the configuration. 
 
 To enter payment voucher,you can follow some steps: 
 Step 1: Click on Transaction and then click on Payment voucher. 
 Step 2: Now click on Add option and enter all details with journal entry for payment and save the voucher."
How can I add one voucher with item with diffrenet tax category?,"To add one voucher with different tax rate follow these steps:
Step 1: Go to Transaction menu.
Step 2: Click on Sales add.
Step 3: Select sale type multirate then create voucher."
How can I add receipts for the amount received against sales in BUSY?,"Find out the steps to add receipt in Busy
 Step 1 : First go to transaction
 Step 2 : Then Go to receipt option
 Step 3 : Then Add receipt for the amount you received against sales"
How can I add some code with billing number in Busy?,"To add some code with billing number in Busy,it is possible through Voucher numbering. you can specify code manually during voucher entry in the field of voucher no.and if want automatic then you have to use Automatic voucher numbering feature and for this you can follow some steps: 
 
 Step 1: Go to administration and then click on configuration. 
 Step 2: Now click on Voucher series configuration and then click on required Voucher Type and then click on voucher series. 
 Step 3: Now click on Voucher Numbering and then Select voucher numbering type as Automatic. 
 Step 4: Now select Voucher Numbering Frequency and select Year Embeded as per your requirement. 
 Step 5: Now you can enter you code in voucher numering in Prefix or Suffix Field. 
 and enable other Feature as per you requirement. 
 Step 6: Now click on OK Option then renumber vocher window will be prompt,you have to select the No Option to not disturb your prvious voucher if exist. 
 Step 7: Now select your voucher and it will show you voucher numbering automatically with specify code."
How can I adjust one sales invoice against another sales invoice as a credit note? What are the steps?,"If you want to adjust one sales invoices against another sales invoice as a credit note
 then please follow the given steps
 
 Step 1: Go to transaction menu then sales return cr note then add.
 Step 2: Then select series then enter date then vch no then sale type then party.
 Step 3: Then original sale details window will open where you need to enter 
 original vch no sale amt will auto populate if vhc no is correct.
 Step 4: Then proceed to enter voucher and save."
How can I adjust or reduce my sales amount in Busy from a certain timeframe (e.g. -- onwards)?,"To adjust or reduce your sales amount in Busy from a certain timeframe, such as 1-4-2022 onwards, you can make adjustments in the sales vouchers. Open the sales voucher for the specific period you want to adjust and modify the sales amount accordingly. Or you can decrease by % or Increase by %. 
 Step 1: Press shortcut Key Ctrl + Alt + X then Split Voucher window will get open
 Step 2: In Action to be taken option Choose Change Amount then enter percentage from which you want to decrease it.
 Step 3: Select source voucher type for splitting, here enter the voucher detail whose amount you want to reduce it.
 Step 4: Select Date Range and click on show vouchers button.
 Step 5: Select All Voucher or as you required. then enter target voucher details and press ok button to split.
"
How can I apply a discount or create a custom billing rate for a client?,"To show discount and tax column in sales voucher then you need to pass entry in POS format follow the below steps.
Step 1: Go to administration and click on configuration.
Step 2: Then voucher series configuration and select voucher type then series. after that click on voucher configuration tab.
Step 3: In advance POS data entry option then click on configure. then configure it as per your requirement which fileds you want to set it semi variable, variable, fixed and save it.
"
How can I apply discount after tax so that it does not impact GST calculation?,"If you want to apply discount after tax, then you need to apply discount in bill sundry after applying tax."
How can I apply discount on the total invoice value?,"If you want to apply discount on the total invoice value of sales then you can apply discount at bill sundry during voucher entry by following these steps:
Step 1: Go to Transaction section then select the sales voucher and click on add option.
Step 2: Then enter the required details such as date, voucher number, party, item details and at the bottom you have to select the discount bill sundry and mention the discount amount or percentage then save it."
How can I apply discount on only specific invoices rather than at customer level in BUSY?,If you want to apply discount on only specific invoices then you can apply discount either itemwise or in the bill sundry as per the requirements.
How can I apply discounts and configure tax rates for invoices in BUSY?,"Discount we can apply at Item Level and Voucher Level. For Voucher Level , Apply Discount Bill Sundry.
Follow Below Steps for Item Level : 
Click On
Step 1: Administration
Step 2: Configuration
Step 3: Voucher Series Configuration
Step 4: Select Voucher Type & Series
Step 5: Enable the Item wise Discount option
Step 6: Select Discount Type
Step 7: During Voucher Entry, Discount window will popup in each item.
For Tax Rate : 
Click On
Step 1: Administration
Step 2: Masters
Step 3: Item
Step 4: Modify
Step 5: Select Tax Category."
How can I apply discounts on sales in BUSY?,"Find out the steps to apply discount in sales invoice In Busy
 For Item wise discount 
 Step 1 : Go to configuration 
 Step 2 : Then Go to voucher series Configuration 
 Step 3 : Then select sales voucher 
 Step 4 : Then select voucher series
 Step 5 : Then enable item wise discount and specify discount structure
 Step 6 : Then go to transaction option 
 Step 7 :Then add sales voucher and after entering item define discount percent Item wise
 For Discount on total invoice amount
 Step 1 : Go to transaction
 Step 2 : Then add sales invoice
 Step 3 : Then at bill sundry option select discount in bil sundry name
 Step 4: And then mention discount percent or amount as per your requirement"
How can I apply discounts and offers on bills in BUSY?,"If you want to apply discount or offer in Invoice then you can apply Discount at bill sundry during voucher entry by following these steps:
Step 1: Go to Transaction section then select the required voucher type.
Step 2: Click on add option and then create invoice with required details
Step 3: Next, Select the Discount Bill sundry master at Bill sundry grid and mention the discount amount.
Step 4: Save the Invoice."
How can I link my credit note with original invoice of sales?,"To link the credit note voucher with original sales invoice, follow the below steps:
Step 1: Go to transaction menu then select credit note without item.
Step 2: Now, Click on add then create the invoice with gst nature credit note issued against sales.
Step 3: Post the accounting entry then a window for adjustment of debit note credit note will display in which you need to mention the original invoice number of sales, date, hsn, unit , tax rate and nature of transaction.
Step 4: Next, after update all required details, save the voucher."
How can I attach files to emails sent from BUSY?,"We can attach the file while sending the email from the BUSY.
 
 Pls Follow the below steps :
 Step 1: Do the email configuration
 Step 1: Then open the voucher in the modify mode
 Step 2: Then click on send email option
 Step 3: You will get the option of external attachement
 Step 4: Attach the file by giving the path then send it."
How can I attach statements and invoices to emails using BUSY?,"If PDF file is not going while send an email from Busy then follow the steps 
 Step 1. Go to Administration then click on configuration 
 Step 2. Now click on Email Configuration 
 Step 3. Then select Sending Report as PDF Attachment on the email configuration page. 
 Step 4. Verify that the server name is correctly set as smtp.gmail.com. If you are using Gmail Account 
 Step 5. Also verify that two step factor authenticaiton is enabled in your Gmail account. 
 Step 6. Alternatively you can generate a new App specific password in your gmail account and input it into the 
 password field in Busy. 
 Step 7. Check your antivirus, firewall, or Windows Defender, as they might be blocking your account. 
 Step 8. Ensure you have an active and stable internet connection. 
 Step 9. Exclude Busy21.exe files from antivirus. 
 Step 10. Exclude Busywin folder from antivirus."
How can I attach files or add attachments to emails in BUSY?,"You can attach the file while sending the email from the BUSY.
 
 Pls Follow the below steps :
 Step 1: Do the email configuration
 Step 1: Then open the voucher in the modify mode
 Step 2: Then click on send email option
 Step 3: You will get the option of external attachement
 Step 4: Attach the file by giving the path then send it."
How can I avoid voucher duplicacy in Busy?,"To avoid duplicate vouchers in Busy, you can configure automatic voucher numbering by follow these steps:
To change your voucher numbering to manual follow these steps:
Step 1: Go to administration menu then click on configuration option
Step 2: Then click on voucher series configuration and select the required voucher type like sales, purchase etc.
Step 3: After choose the voucher type, select its series and then click on voucher numbering option appear at rights side of screen.
Step 4: Specify Automatic in numbering Type and the configure the setting by specify prefix, suffix, starting number etc.
Step 5: Save the voucher numbering option and click on no for renumber all voucher for particular series.
Note: Please ensure that you have a latest backup of your data before following above steps."
How can i adjust my account's balances in Busy?,"To adjust your account's balances, you can pass journal voucher by using these steps:
Step 1: Go to transaction menu then select journal voucher and click on add.
Step 2: Enter the required details such as date, voucher number, debit and credit account with amount then save."
How can I change BB transactions to BC in BUSY?,If you want to make B2B transactions to B2C then remove the GST number from the party master then it becomes unregistered  and vouchers will become as B2C.
How can I change dispatch details for parties in different states in BUSY?,"If you want to add dispatch details, follow these steps: 
 Step 1: In the transport window You can enter the dispatch details for this enter transaction. 
 Step 2: In the transport details window, select Transaction Type as Bill From-Dispatch From, then enter the dispatch address."
How can I change tax rates for purchases in Busy?,"Tax rates mentioned in item master which is applicable for all vouchers. If you want to change the tax rates for your items that are mentioned in the item master, you can follow these steps:
Step 1: Open BUSY and select the company you want to work with. Then, go to the Administration tab and click on the Masters.
Step 2: Under Masters, select Item and then click on Modify. This will open a list of your items that you can choose from.
Step 3: Select the item that you want to change the tax rate for. This will open the item details window where you can see a field named Tax Category. You can change the tax rate from there by selecting a different tax category or creating a new one.
Step 4: Click on Save to apply the changes and close the window.
Please note to take latest Backup of your data before make any changes in your data."
How can I change the invoice numbering series or make a custom series in Busy?,"To change the invoice numbering series in Busy, follow these steps:
Step 1: Take backup of your company then go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the voucher series and click on voucher numbering.
Step 4: Choose the Numbering Type as either Automatic or Manual. 
Step 5: After selecting Automatic set the prefix, suffix, and Starting No. as per your needs and click on OK to save the settings.
Step 6: If you want to renumber the existing voucher numbers then select yes on renumbering window."
How can i change the material center during voucher entry in busy?,"To switch or change the material center during transaction in Busy, follow these step:
Step 1: Go to transactions and then select the voucher.
Step 2: Open the required voucher in modify and then in material centre field, you can change it then save it."
